,age,sex
654,18.6,1
655,2.6,1
656,30.7,1
657,24.1,1
658,20.6,1
659,26.4,1
660,24.4,0
661,26.6,1
662,24.1,1
663,18.3,1
664,50.7,1
665,26.6,0
666,18.6,1
667,18.5,1
668,31.7,1
669,25.2,1
670,32.5,1
671,32.4,1
672,35.9,1
673,26.7,1
674,48.6,1
675,19.3,1
676,32.6,0
677,24.7,0
678,36.5,0
679,30.1,1
680,23.8,1
681,24.1,1
682,24.5,0
683,37.6,1
684,29.7,0
685,37.4,1
686,32.3,0
687,25.2,0
688,25.2,1
689,21.7,1
690,28.6,1
691,28.7,1
692,2.2,1
693,20.2,0
694,39.6,0
695,56.6,0
696,30.2,1
697,35.1,1
698,20.5,1
699,21.2,1
700,19.8,0
701,22.0,1
702,46.4,1
703,0.9,1
704,46.3,1
705,22.4,0
706,22.0,1
707,60.1,0
708,39.5,1
709,24.6,1
710,2.0,0
711,30.5,0
712,9.3,1
713,43.9,1
714,44.8,1
715,22.8,1
716,26.7,0
717,1.4,1
718,4.3,0
719,17.0,1
720,41.0,1
721,26.8,1
722,32.0,1
723,28.8,1
724,5.2,1
725,19.0,1
726,19.1,1
727,36.4,1
728,28.5,1
729,33.5,0
730,48.1,1
731,2.5,0
732,18.2,1
733,61.6,1
734,14.7,1
735,25.7,0
736,24.9,1
737,27.7,1
738,40.6,1
739,22.7,1
740,21.2,0
741,21.8,1
742,32.8,1
743,37.0,1
744,26.0,1
745,19.8,1
746,29.7,1
747,59.8,1
748,26.4,0
749,67.2,1
750,3.6,0
751,23.9,1
752,1.4,1
753,6.0,0
754,28.9,0
755,46.6,1
756,22.5,1
757,35.6,1
758,21.0,1
759,30.9,1
760,28.5,0
761,29.1,1
762,1.2,1
763,19.2,0
764,19.7,1
765,25.8,1
766,1.0,0
767,13.7,1
768,29.2,0
769,40.8,1
770,29.8,1
771,25.0,1
772,7.1,1
773,62.6,0
774,39.9,1
775,52.7,0
776,56.8,1
777,31.6,1
778,34.1,1
779,24.2,0
780,31.7,1
781,42.8,1
782,27.9,0
783,28.9,1
784,25.9,1
785,27.8,0
786,1.1,0
787,1.8,0
788,21.7,1
789,23.1,1
790,3.3,1
791,0.5,0
792,50.9,1
793,29.0,1
794,1.4,0
795,37.5,0
796,33.8,0
797,31.0,1
798,32.8,0
799,32.7,0
800,36.8,1
801,47.1,1
802,12.2,1
803,18.8,1
804,1.0,1
805,37.1,1
806,26.3,1
807,29.7,0
808,18.4,1
809,29.8,0
810,3.0,1
811,21.0,0
812,37.5,1
813,16.7,1
814,19.9,1
815,25.2,1
816,22.2,0
817,5.8,0
818,24.6,1
819,20.0,1
820,44.6,0
821,24.7,1
822,18.3,1
823,19.8,1
824,32.9,1
825,29.9,1
826,28.5,1
827,23.1,1
828,34.1,1
829,25.8,1
830,45.0,1
831,28.0,1
832,18.9,1
833,23.0,1
834,18.8,0
835,25.5,1
836,50.5,1
837,20.1,1
838,18.5,1
839,5.5,0
840,35.9,0
841,58.7,1
842,52.4,0
843,61.1,0
844,29.0,1
845,31.0,1
846,25.9,1
847,30.9,1
848,19.0,1
849,50.1,1
850,24.0,1
851,31.4,1
852,44.0,0
853,47.0,1
854,20.2,1
855,23.8,1
856,20.6,1
857,18.9,1
858,38.0,1
859,44.8,1
860,35.1,0
861,6.1,0
862,39.6,1
863,33.9,1
864,29.6,1
865,18.9,1
866,19.1,1
867,19.7,1
868,39.7,1
869,20.8,1
870,25.6,0
871,28.2,1
872,20.0,0
873,25.1,1
874,48.0,1
875,32.9,1
876,23.1,1
877,20.1,0
878,27.9,1
879,18.5,1
880,13.7,1
881,6.0,1
882,10.8,1
883,5.4,0
884,30.0,0
885,36.2,0
886,40.6,1
887,24.5,1
888,22.1,1
889,20.1,1
890,50.5,0
891,26.1,1
892,18.3,1
893,29.4,1
894,48.1,0
895,3.1,1
896,10.0,0
897,7.7,0
898,18.5,1
899,30.0,1
900,45.9,1
901,1.9,0
902,36.7,0
903,16.7,1
904,29.0,1
905,20.0,1
906,18.1,1
907,27.7,1
908,45.1,0
909,41.7,1
910,4.5,0
911,2.6,0
912,29.8,1
913,23.5,1
914,23.0,1
915,18.2,1
916,62.1,0
917,18.1,1
918,19.2,1
919,15.7,1
920,19.1,1
921,34.1,1
922,31.1,1
923,22.1,1
924,21.1,1
925,21.0,1
926,34.0,0
927,20.2,1
928,35.0,1
929,30.3,0
930,18.6,1
931,19.0,1
932,0.5,0
933,53.2,1
934,37.8,0
935,26.8,1
936,3.1,0
937,36.0,1
938,23.1,0
939,4.8,0
940,22.0,0
941,58.1,1
942,19.2,1
943,52.1,0
944,0.5,1
945,36.0,1
946,17.1,1
947,48.2,0
948,3.9,0
949,21.5,0
950,19.0,1
951,4.1,0
952,23.1,0
953,25.1,1
954,21.9,0
955,36.8,0
956,50.3,1
957,31.4,0
958,5.5,1
959,75.0,1
960,26.3,1
961,25.1,1
962,19.0,1
963,33.8,0
964,47.7,1
965,4.1,0
966,53.1,1
967,43.2,0
968,18.0,1
969,3.8,0
970,31.5,0
971,6.9,1
972,43.7,1
973,33.9,0
974,21.9,1
975,21.1,1
976,0.7,1
977,14.1,0
978,22.2,1
979,18.3,1
980,20.1,1
981,46.0,1
982,41.9,1
983,24.1,0
984,49.1,1
985,17.7,1
986,16.6,1
987,2.7,0
988,4.1,1
989,7.1,0
990,39.7,1
991,27.2,1
992,70.2,1
993,0.3,0
994,38.2,1
995,0.5,0
996,45.1,1
997,7.2,1
998,43.5,1
999,30.7,0
1000,2.7,1
1001,8.6,1
1002,34.0,0
1003,16.8,1
1004,50.8,0
1005,20.9,1
1006,46.7,0
1007,46.9,0
1008,18.4,1
1009,20.5,1
1010,27.6,0
1011,24.2,1
1012,35.7,0
1013,39.6,0
1014,0.7,1
1015,36.2,1
1016,25.6,1
1017,2.1,0
1018,0.5,1
1019,4.1,1
1020,12.8,0
1021,50.9,1
1022,34.5,0
1023,34.5,1
1024,11.7,1
1025,7.1,1
1026,20.7,1
1027,8.1,1
1028,1.9,1
1029,33.9,1
1030,30.7,0
1031,20.9,1
1032,0.4,0
1033,0.4,0
1034,0.7,1
1035,30.6,0
1036,18.4,1
1037,17.9,1
1038,18.7,1
1039,0.2,0
1040,22.6,1
1041,32.7,1
1042,0.2,0
1043,0.8,1
1044,0.2,1
1045,66.2,0
1046,65.2,0
1047,54.5,1
1048,28.5,1
1049,0.1,0
1050,48.5,1
1051,0.2,0
1052,0.1,0
1053,0.1,1
1054,0.1,1
1055,20.4,1
1056,0.1,1
1057,2.6,1
1058,75.2,0
1059,45.6,1
1060,13.1,1
1061,28.9,0
1062,0.9,0
1063,25.0,0
1064,30.7,1
1065,59.7,1
1066,40.8,1
1067,24.8,1
1068,41.7,0
1069,20.6,0
1070,0.4,0
1071,23.0,0
1072,17.0,1
1073,19.9,1
1074,25.1,1
1075,22.6,1
1076,21.4,1
1077,34.7,1
1078,31.0,1
1079,4.5,1
1080,29.1,0
1081,64.0,0
1082,41.9,1
1083,56.6,1
1084,16.6,1
1085,18.7,1
1086,55.6,0
1087,15.3,1
1088,24.2,1
1089,21.7,1
1090,43.6,0
1091,50.7,0
1092,19.9,1
1093,5.5,0
1094,52.9,0
1095,26.6,1
1096,22.8,1
1097,33.6,1
1098,24.7,1
1099,16.2,0
1100,62.1,0
1101,29.6,1
1102,14.7,1
1103,19.6,1
1104,53.8,1
1105,22.4,1
1106,4.2,1
1107,22.4,0
1108,27.3,1
1109,30.7,1
1110,38.3,1
1111,13.2,0
1112,18.8,1
1113,7.1,0
1114,32.7,0
1115,9.4,1
1116,13.3,0
1117,1.2,1
1118,26.1,0
1119,38.9,0
1120,19.6,1
1121,0.2,0
1122,37.7,1
1123,31.5,0
1124,53.6,0
1125,44.3,1
1126,44.6,1
1127,66.2,0
1128,9.6,0
1129,37.6,0
1130,68.2,1
1131,56.7,1
1132,21.5,0
1133,41.7,0
1134,46.6,0
