"","V1","V2"
"903",36.7,0
"904",16.7,1
"905",29,1
"906",20,1
"907",18.1,1
"908",27.7,1
"909",45.1,0
"910",41.7,1
"911",4.5,0
"912",2.6,0
"913",29.8,1
"914",23.5,1
"915",23,1
"916",18.2,1
"917",62.1,0
"918",18.1,1
"919",19.2,1
"920",15.7,1
"921",19.1,1
"922",34.1,1
"923",31.1,1
"924",22.1,1
"925",21.1,1
"926",21,1
"927",34,0
"928",20.2,1
"929",35,1
"930",30.3,0
"931",18.6,1
"932",19,1
"933",0.5,0
"934",53.2,1
"935",37.8,0
"936",26.8,1
"937",3.1,0
"938",36,1
"939",23.1,0
"940",4.8,0
"941",22,0
"942",58.1,1
"943",19.2,1
"944",52.1,0
"945",0.5,1
"946",36,1
"947",17.1,1
"948",48.2,0
"949",3.9,0
"950",21.5,0
"951",19,1
"952",4.1,0
"953",23.1,0
"954",25.1,1
"955",21.9,0
"956",36.8,0
"957",50.3,1
"958",31.4,0
"959",5.5,1
"960",75,1
"961",26.3,1
"962",25.1,1
"963",19,1
"964",33.8,0
"965",47.7,1
"966",4.1,0
"967",53.1,1
"968",43.2,0
"969",18,1
"970",3.8,0
"971",31.5,0
"972",6.9,1
"973",43.7,1
"974",33.9,0
"975",21.9,1
"976",21.1,1
"977",0.7,1
"978",14.1,0
"979",22.2,1
"980",18.3,1
"981",20.1,1
"982",46,1
"983",41.9,1
"984",24.1,0
"985",49.1,1
"986",17.7,1
"987",16.6,1
"988",2.7,0
"989",4.1,1
"990",7.1,0
"991",39.7,1
"992",27.2,1
"993",70.2,1
"994",0.3,0
"995",38.2,1
"996",0.5,0
"997",45.1,1
"998",7.2,1
"999",43.5,1
"1000",30.7,0
"1001",2.7,1
"1002",8.6,1
"1003",34,0
"1004",16.8,1
"1005",50.8,0
"1006",20.9,1
"1007",46.7,0
"1008",46.9,0
"1009",18.4,1
"1010",20.5,1
"1011",27.6,0
"1012",24.2,1
"1013",35.7,0
"1014",39.6,0
"1015",0.7,1
"1016",36.2,1
"1017",25.6,1
"1018",2.1,0
"1019",0.5,1
"1020",4.1,1
"1021",12.8,0
"1022",50.9,1
"1023",34.5,0
"1024",34.5,1
"1025",11.7,1
"1026",7.1,1
"1027",20.7,1
"1028",8.1,1
"1029",1.9,1
"1030",33.9,1
"1031",30.7,0
"1032",20.9,1
"1033",0.4,0
"1034",0.4,0
"1035",0.7,1
"1036",30.6,0
"1037",18.4,1
"1038",17.9,1
"1039",18.7,1
"1040",0.2,0
"1041",22.6,1
"1042",32.7,1
"1043",0.2,0
"1044",0.8,1
"1045",0.2,1
"1046",66.2,0
"1047",65.2,0
"1048",54.5,1
"1049",28.5,1
"1050",0.1,0
"1051",48.5,1
"1052",0.2,0
"1053",0.1,0
"1054",0.1,1
"1055",0.1,1
"1056",20.4,1
"1057",0.1,1
"1058",2.6,1
"1059",75.2,0
"1060",45.6,1
"1061",13.1,1
"1062",28.9,0
"1063",0.9,0
"1064",25,0
"1065",30.7,1
"1066",59.7,1
"1067",40.8,1
"1068",24.8,1
"1069",41.7,0
"1070",20.6,0
"1071",0.4,0
"1072",23,0
"1073",17,1
"1074",19.9,1
"1075",25.1,1
"1076",22.6,1
"1077",21.4,1
"1078",34.7,1
"1079",31,1
"1080",4.5,1
